Categoría,Nivel,Español (Latino),Inglés
Animales,Baja,León,Lion
Animales,Baja,Elefante,Elephant
Animales,Baja,Mono,Monkey
Animales,Baja,Gato,Cat
Animales,Baja,Perro,Dog
Animales,Baja,Jirafa,Giraffe
Animales,Baja,Tigre,Tiger
Animales,Baja,Oso,Bear
Animales,Baja,Conejo,Rabbit
Animales,Baja,Ratón,Mouse
Animales,Baja,Vaca,Cow
Animales,Baja,Cerdo,Pig
Animales,Baja,Oveja,Sheep
Animales,Baja,Caballo,Horse
Animales,Baja,Pato,Duck
Animales,Baja,Gallina,Hen
Animales,Baja,Águila,Eagle
Animales,Baja,Serpiente,Snake
Animales,Baja,Tiburón,Shark
Animales,Baja,Ballena,Whale
Animales,Baja,Delfín,Dolphin
Animales,Baja,Pingüino,Penguin
Animales,Baja,Sapo,Toad
Animales,Baja,Tortuga,Turtle
Animales,Baja,Araña,Spider
Animales,Baja,Mariposa,Butterfly
Animales,Baja,Abeja,Bee
Animales,Baja,Hormiga,Ant
Animales,Baja,Mosquito,Mosquito
Animales,Baja,Cangrejo,Crab
Animales,Baja,Pulpo,Octopus
Animales,Baja,Medusa,Jellyfish
Animales,Baja,Lobo,Wolf
Animales,Baja,Zorro,Fox
Animales,Baja,Búho,Owl
Animales,Baja,Loro,Parrot
Animales,Baja,Cisne,Swan
Animales,Baja,Flamenco,Flamingo
Animales,Baja,Pavo,Turkey
Animales,Baja,Ardilla,Squirrel
Animales,Baja,Castor,Beaver
Animales,Baja,Koala,Koala
Animales,Baja,Canguro,Kangaroo
Animales,Baja,Panda,Panda
Animales,Baja,Gorila,Gorilla
Animales,Baja,Rinoceronte,Rhino
Animales,Baja,Hipopótamo,Hippo
Animales,Baja,Suricato,Meerkat
Animales,Baja,Alpaca,Alpaca
Animales,Baja,Llama,Llama
Animales,Baja,Puercoespín,Porcupine
Animales,Baja,Perezoso,Sloth
Animales,Baja,Ornitorrinco,Platypus
Animales,Baja,Hiena,Hyena
Animales,Baja,Buitre,Vulture
Animales,Baja,Tucán,Toucan
Animales,Baja,Colibrí,Hummingbird
Animales,Baja,Camaleón,Chameleon
Animales,Baja,Iguana,Iguana
Animales,Baja,Gecko,Gecko
Animales,Baja,Salamandra,Salamander
Animales,Baja,Anguila,Eel
Animales,Baja,Mantarraya,Manta Ray
Animales,Baja,Orca,Orca
Animales,Baja,Narval,Narwhal
Animales,Baja,Morsa,Walrus
Animales,Baja,Leopardo,Leopard
Animales,Baja,Guepardo,Cheetah
Animales,Baja,Jaguar,Jaguar
Animales,Baja,Pantera,Panther
Animales,Baja,Lince,Lynx
Animales,Baja,Puma,Cougar
Animales,Baja,Tapir,Tapir
Animales,Baja,Jabalí,Boar
Animales,Baja,Ciervo,Deer
Animales,Baja,Alce,Moose
Animales,Baja,Reno,Reindeer
Animales,Baja,Búfalo,Buffalo
Animales,Baja,Bisonte,Bison
Animales,Baja,Cabra,Goat
Animales,Baja,Burro,Donkey
Animales,Baja,Mula,Mule
Animales,Baja,Erizo,Hedgehog
Animales,Baja,Topo,Mole
Animales,Baja,Tejón,Badger
Animales,Baja,Nutria,Otter
Animales,Baja,Foca,Seal
Animales,Baja,Manatí,Manatee
Animales,Baja,Pelícano,Pelican
